Code,Total,Dem,Rep,Other
AL-01,"152,234","48,278","103,758",198
AL-02,"167,952","54,692","113,103",157
AL-03,"156,620","52,816","103,558",246
AL-04,"134,752",0,"132,831","1,921"
AL-05,"154,974",0,"115,338","39,636"
AL-06,"178,449","42,291","135,945",213
AL-07,"135,899","133,687",0,"2,212"
AK-AL,"279,725","114,596","142,566","22,563"
AZ-01,"185,114","97,391","87,723",0
AZ-02,"219,351","109,543","109,704",104
AZ-03,"104,428","58,192","46,185",51
AZ-04,"175,179","45,179","122,560","7,440"
AZ-05,"179,463","54,596","124,867",0
AZ-06,"199,776","70,198","129,578",0
AZ-07,"72,454","54,235",0,"18,219"
AZ-08,"169,776",0,"128,710","41,066"
AZ-09,"162,062","88,609","67,841","5,612"
AR-01,"196,256","63,555","124,139","8,562"
AR-02,"237,330","103,477","123,073","10,780"
AR-03,"190,935",0,"151,630","39,305"
AR-04,"206,131","87,742","110,789","7,600"
CA-01,"216,372","84,320","132,052",0
CA-02,"217,524","163,124","54,400",0
CA-03,"150,260","79,224","71,036",0
CA-04,"211,134",0,"211,134",0
CA-05,"171,148","129,613",0,"41,535"
CA-06,"133,456","97,008","36,448",0
CA-07,"183,587","92,521","91,066",0
CA-08,"114,536","37,056","77,480",0
CA-09,"121,204","63,475","57,729",0
CA-10,"125,705","55,123","70,582",0
CA-11,"174,662","117,502","57,160",0
CA-12,"192,264","160,067","32,197",0
CA-13,"190,431","168,491","21,940",0
CA-14,"149,146","114,389","34,757",0
CA-15,"142,904","99,756","43,148",0
CA-16,"91,220","46,277","44,943",0
CA-17,"134,408","134,408",0,0
CA-18,"196,386","133,060","63,326",0
CA-19,"127,788","127,788",0,0
CA-20,"141,044","106,034",0,"35,010"
CA-21,"79,377","33,470","45,907",0
CA-22,"133,342","37,289","96,053",0
CA-23,"134,043","33,726","100,317",0
CA-24,"198,794","103,228","95,566",0
CA-25,"114,072",0,"114,072",0
CA-26,"169,829","87,176","82,653",0
CA-27,"127,580","75,728","51,852",0
CA-28,"120,264","91,996",0,"28,268"
CA-29,"67,141","50,096","17,045",0
CA-30,"131,883","86,568","45,315",0
CA-31,"99,784","51,622","48,162",0
CA-32,"84,406","50,353","34,053",0
CA-33,"183,031","108,331","74,700",0
CA-34,"61,607","61,607",0,0
CA-35,"62,255","62,255",0,0
CA-36,"134,139","72,682","61,457",0
CA-37,"114,838","96,787","18,051",0
CA-38,"98,480","58,192","40,288",0
CA-39,"133,225","41,906","91,319",0
CA-40,"49,379","49,379",0,0
CA-41,"82,884","46,948","35,936",0
CA-42,"113,390","38,850","74,540",0
CA-43,"98,202","69,681","28,521",0
CA-44,"68,862","59,670",0,"9,192"
CA-45,"162,902","56,819","106,083",0
CA-46,"83,315","49,738","33,577",0
CA-47,"123,400","69,091","54,309",0
CA-48,"174,795","62,713","112,082",0
CA-49,"163,142","64,981","98,161",0
CA-50,"157,299","45,302","111,997",0
CA-51,"81,950","56,373","25,577",0
CA-52,"191,572","98,826","92,746",0
CA-53,"148,044","87,104","60,940",0
CO-01,"278,491","183,281","80,682","14,528"
CO-02,"345,945","196,300","149,645",0
CO-03,"281,141","100,364","163,011","17,766"
CO-04,"286,507","83,727","185,292","17,488"
CO-05,"262,855","105,673","157,182",0
CO-06,"276,440","118,847","143,467","14,126"
CO-07,"269,143","148,225","120,918",0
CT-01,"217,696","135,686","78,520","3,490"
CT-02,"227,750","141,851","80,842","5,057"
CT-03,"210,420","141,197","69,223",0
CT-04,"198,719","106,791","91,928",0
CT-05,"211,123","112,550","96,625","1,948"
DE-AL,"231,617","137,251","85,146","9,220"
FL-01,"235,343","54,976","165,086","15,281"
FL-02,"249,780","126,096","123,262",422
FL-03,"228,809","73,910","148,691","6,208"
FL-04,"227,253",0,"177,887","49,366"
FL-05,"171,577","112,340","59,237",0
FL-06,"265,817","99,563","166,254",0
FL-07,"227,164","73,011","144,474","9,679"
FL-08,"274,513","93,724","180,728",61
FL-09,"173,878","93,850","74,963","5,065"
FL-10,"232,574","89,426","143,128",20
FL-11,"272,294","90,786","181,508",0
FL-12,0,0,0,0
FL-13,"223,576",0,"168,172","55,404"
FL-14,0,0,0,0
FL-15,"213,582",84832,128750,0
FL-16,"274,829","105,483","169,126",220
FL-17,"223,756","82,263","141,493",0
FL-18,"253,374","151,478","101,896",0
FL-19,"246,861","80,824","159,354","6,683"
FL-20,"157,466","128,498","28,968",0
FL-21,"153,970","153,395",0,575
