GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote,Avg Dem Vote,Avg Rep Vote
4200140,0,BERWICK TWP Voting District,Adams,2389,2163,58,120,25,3,20,1866,1734,39,64,20,2,7,989,360,614,327,647
4200110,0,ABBOTTSTOWN Voting District,Adams,1011,894,7,95,10,0,5,752,688,5,50,7,0,2,361,154,200,130,224
42001260,0,HAMILTON TWP Voting District,Adams,2530,2414,8,66,11,1,30,1930,1870,5,37,6,1,11,1196,408,777,389,796
42001480,0,UNION TWP Voting District,Adams,3148,2996,20,67,23,4,38,2404,2320,11,34,15,4,20,1398,440,934,429,945
42001100,0,CONEWAGO TWP VTD 02,Adams,4271,4037,51,78,49,4,52,3091,2966,35,40,30,0,20,1682,636,1026,599,1063
42001400,0,MT. PLEASANT TWP VTD 02,Adams,2114,1841,9,245,6,2,11,1619,1474,7,128,4,2,4,676,245,425,239,431
42001425,0,OXFORD TWP DIST 01,Adams,2754,2420,29,266,9,3,27,2026,1841,18,145,9,3,10,951,387,553,366,574
4200190,0,CONEWAGO TWP VTD 01,Adams,2814,2685,7,88,5,2,27,2258,2173,7,64,3,2,9,1336,547,773,527,793
42001230,0,GETTYSBURG WD 02,Adams,3383,2878,174,214,62,2,53,3166,2752,151,167,57,0,39,1369,953,411,846,518
42001110,0,CUMBERLAND TWP VTD 01,Adams,1799,1604,68,81,20,1,25,1462,1335,48,47,19,1,12,966,426,527,396,557
42001130,0,CUMBERLAND TWP VTD 03,Adams,2176,1925,70,117,34,7,23,1787,1630,50,70,23,5,9,1166,536,619,470,685
42001180,0,FRANKLIN TWP VTD 02,Adams,2392,2184,29,155,11,1,12,1956,1828,21,93,6,1,7,1070,380,668,369,679
4200170,0,BUTLER TWP Voting District,Adams,2567,2347,15,181,4,3,17,2086,1943,13,112,4,3,11,1187,377,794,363,808
42001450,0,STRABAN TWP VTD 02,Adams,2610,2339,64,154,31,0,22,2117,1922,62,102,17,0,14,955,366,573,354,585
42001220,0,GETTYSBURG WD 01 PCT 02,Adams,2403,1945,105,242,39,7,65,2012,1716,84,141,34,7,30,858,540,311,481,370
42001385,0,MT. JOY TWP VTD 02,Adams,1892,1753,49,34,23,7,26,1476,1394,29,15,17,7,14,949,313,627,311,629
42001120,0,CUMBERLAND TWP VTD 02,Adams,1432,1359,26,10,16,5,16,1183,1130,20,8,15,3,7,786,319,455,297,477
42001190,0,FREEDOM TWP Voting District,Adams,831,799,6,10,5,0,11,672,650,5,6,5,0,6,490,175,310,172,313
42001140,0,CUMBERLAND TWP VTD 04,Adams,755,692,12,15,25,0,11,645,599,10,9,22,0,5,521,246,269,233,282
42001280,0,HIGHLAND TWP Voting District,Adams,943,895,3,25,2,0,18,740,710,2,14,2,0,12,525,197,319,183,333
42001170,0,FRANKLIN TWP VTD 01,Adams,2485,2272,40,140,7,5,21,1935,1800,30,88,4,5,8,1132,441,684,427,698
42001240,0,GETTYSBURG WD 03 PCT 01,Adams,1834,1243,132,378,41,4,36,1444,1054,106,225,33,4,22,849,478,362,425,415
42001150,0,EAST BERLIN Voting District,Adams,1521,1446,11,39,14,2,9,1185,1138,8,20,12,2,5,734,284,440,268,456
42001435,0,READING TWP VTD 02,Adams,2820,2566,5,207,20,2,20,2112,1971,1,117,14,2,7,1037,403,621,372,652
42001430,0,READING TWP VTD 01,Adams,2960,2819,0,102,18,1,20,2155,2081,0,53,12,1,8,1395,450,931,438,943
42001270,0,HAMILTONBAN TWP Voting District,Adams,2372,2256,17,48,16,6,29,1923,1847,15,30,11,4,16,1055,382,667,374,675
42001160,0,FAIRFIELD Voting District,Adams,507,479,12,12,1,0,3,424,405,7,9,1,0,2,301,130,164,119,175
4200120,0,ARENDTSVILLE Voting District,Adams,952,742,27,156,5,5,17,696,573,18,90,4,4,7,364,167,195,150,212
42001370,0,MENALLEN TWP Voting District,Adams,3515,2985,32,450,8,11,29,2648,2329,17,274,5,6,17,1432,439,982,423,998
42001320,0,LIBERTY TWP Voting District,Adams,1237,1185,16,20,7,3,6,992,956,11,15,6,2,2,622,253,364,236,381
42001330,0,LITTLESTOWN WD 01,Adams,2421,2298,22,54,13,4,30,1783,1707,14,34,9,4,15,887,298,579,279,598
42001200,0,GERMANY TWP Voting District,Adams,2700,2598,9,38,23,2,30,2050,1985,8,27,17,2,11,1233,364,859,350,873
42001380,0,MT. JOY TWP VTD 01,Adams,1778,1682,26,39,10,4,17,1451,1391,16,25,8,4,7,983,436,531,378,589
42001390,0,MT. PLEASANT TWP VTD 01,Adams,2579,2443,23,62,20,1,30,2033,1949,15,39,16,1,13,1169,427,732,436,723
4200180,0,CARROLL VALLEY Voting District,Adams,1762,1701,12,14,12,1,22,1287,1245,10,9,9,1,13,925,356,560,319,597
42001460,0,TYRONE TWP Voting District,Adams,2298,2024,23,212,2,3,34,1748,1581,19,132,1,2,13,886,292,581,270,603
42001290,0,HUNTINGTON TWP VTD 01,Adams,2369,2171,11,135,18,10,24,1814,1699,9,71,18,7,10,1041,305,727,283,749
4200180A,0,Carroll Valley Borough Voting District,Adams,2114,2024,12,40,6,8,24,1592,1532,9,28,5,4,14,1115,453,650,414,689
42001310,0,LATIMORE TWP Voting District,Adams,2580,2464,9,76,7,2,22,1966,1892,5,49,7,2,11,1310,409,890,379,920
42001490,0,YORK SPRINGS Voting District,Adams,833,435,4,384,2,2,6,580,347,4,221,2,2,4,207,98,106,69,135
4200130,0,BENDERSVILLE Voting District,Adams,641,486,3,135,3,4,10,459,361,3,85,2,3,5,250,97,150,88,159
42001340,0,LITTLESTOWN WD 02,Adams,2013,1907,14,56,6,0,30,1537,1480,9,34,5,0,9,865,310,547,305,552
42001350,0,MC SHERRYSTOWN VTD 01,Adams,1808,1617,21,129,22,3,16,1339,1249,9,62,14,2,3,600,302,283,292,293
42001360,0,MC SHERRYSTOWN VTD 02,Adams,1230,1166,14,31,1,2,16,913,876,8,21,1,2,5,452,217,228,204,241
42001440,0,STRABAN TWP VTD 01,Adams,2318,2086,35,152,23,2,20,1860,1720,25,89,15,2,9,1220,560,652,519,693
4200160,0,BONNEAUVILLE Voting District,Adams,1800,1632,33,82,16,0,37,1297,1212,17,43,15,0,10,696,333,354,289,398
42001427,0,OXFORD TWP DIST 02,Adams,2763,2525,39,157,14,6,22,2276,2144,26,81,10,4,11,1174,464,696,431,729
42001410,0,NEW OXFORD Voting District,Adams,1783,1455,30,275,8,0,15,1320,1142,16,152,5,0,5,651,302,343,277,368
4200150,0,BIGLERVILLE Voting District,Adams,1200,953,8,229,4,1,5,902,762,7,127,3,1,2,475,178,286,164,300
42003472,0,BETHEL PARK WD 02 DIST 03,Allegheny,1243,1164,13,38,13,1,14,1025,969,10,25,10,1,10,756,339,412,361,390
42003481,0,BETHEL PARK WD 03 DIST 01,Allegheny,1056,1014,3,17,10,0,12,805,779,1,10,6,0,9,654,240,406,256,390
42003486,0,BETHEL PARK WD 03 DIST 02,Allegheny,1073,1018,9,15,14,1,16,838,802,6,7,12,1,10,671,273,397,278,392
42003493,0,BETHEL PARK WD 03 DIST 03,Allegheny,1335,1312,10,2,6,0,5,1102,1085,6,2,6,0,3,877,371,501,389,483
420031371,0,CORAOPOLIS WD 03 DIST 01,Allegheny,781,702,53,8,3,1,14,646,581,47,8,3,1,6,433,254,175,265,164
420031381,0,CORAOPOLIS WD 03 DIST 02,Allegheny,805,708,49,8,5,1,34,644,579,40,5,4,1,15,433,231,196,255,172
420031390,0,CORAOPOLIS WD 04 DIST 01,Allegheny,649,575,36,15,1,1,21,515,465,28,11,1,1,9,310,160,149,174,135
420031400,0,CORAOPOLIS WD 04 DIST 02,Allegheny,782,706,42,12,12,0,10,625,576,30,6,9,0,4,349,190,152,207,135
420031411,0,CRAFTON WD 01 DIST 01,Allegheny,1337,1227,48,30,6,0,26,1096,1025,32,18,6,0,15,656,373,276,376,273
420031420,0,CRAFTON WD 01 DIST 02,Allegheny,684,628,38,3,3,3,9,546,510,27,3,3,2,1,442,252,185,271,166
420032631,0,HAMPTON TWP DIST 12,Allegheny,1062,1033,3,12,9,1,4,812,790,3,7,9,1,2,655,284,367,288,363
420032641,0,HAMPTON TWP DIST 13,Allegheny,948,932,6,2,2,0,6,767,757,5,1,2,0,2,563,232,327,239,320
420032650,0,HARMAR TWP DIST 01,Allegheny,1291,1241,10,18,8,1,13,1142,1106,8,14,8,1,5,847,357,483,400,440
420032660,0,HARMAR TWP DIST 02,Allegheny,1134,1098,5,10,13,0,8,971,946,5,9,8,0,3,514,259,253,301,211
420032670,0,HARMAR TWP DIST 03,Allegheny,496,489,3,4,0,0,0,432,426,2,4,0,0,0,238,109,126,132,103
420032680,0,HARRISON TWP WD 01 DIST 01,Allegheny,374,366,0,0,2,0,6,296,290,0,0,2,0,4,219,97,120,112,105
420032690,0,HARRISON TWP WD 01 DIST 02,Allegheny,832,809,7,7,3,0,6,670,659,4,3,3,0,1,495,201,292,218,275
420033930,0,MC KEESPORT WD 12 DIST 01,Allegheny,458,429,20,4,4,0,1,388,369,13,1,4,0,1,230,118,110,150,78
420033940,0,MC KEESPORT WD 12 DIST 02,Allegheny,551,508,23,9,1,0,10,458,429,18,7,1,0,3,279,132,143,158,117
420033941,0,MC KEESPORT WD 12 DIST 03,Allegheny,745,710,23,7,2,1,2,651,630,14,4,2,0,1,457,228,227,277,178
420033950,0,MILLVALE DIST 01,Allegheny,834,751,46,9,1,5,22,668,614,34,5,1,5,9,309,181,123,190,114
420034000,0,MILLVALE DIST 02,Allegheny,714,652,23,15,0,0,24,551,518,15,10,0,0,8,235,133,99,136,96
420033970,0,MILLVALE DIST 03,Allegheny,701,634,42,6,0,2,17,564,517,34,4,0,2,7,282,164,112,179,97
420035191,0,O HARA TWP WD 01 DIST 02,Allegheny,845,777,5,6,44,1,12,689,643,5,3,32,1,5,484,265,214,269,210
420035201,0,O HARA TWP WD 02 DIST 01,Allegheny,751,698,13,9,28,1,2,570,534,7,8,19,1,1,484,258,225,251,232
420035210,0,O HARA TWP WD 02 DIST 02,Allegheny,1003,902,11,25,46,0,19,771,705,10,17,34,0,5,700,332,362,324,370
420035225,0,O HARA TWP WD 03 DIST 01,Allegheny,867,799,3,15,45,0,5,661,614,3,12,31,0,1,507,251,252,260,243
420035230,0,O HARA TWP WD 03 DIST 02,Allegheny,832,797,6,10,11,0,8,661,642,2,9,5,0,3,461,256,198,269,185
420035261,0,O HARA TWP WD 04 DIST 01,Allegheny,312,291,0,4,17,0,0,206,191,0,4,11,0,0,378,207,170,77,81
420035710,0,PENN HILLS TWP WD 08 DIST 03,Allegheny,725,683,23,8,2,0,9,606,578,15,6,2,0,5,424,195,228,218,205
420035720,0,PENN HILLS TWP WD 08 DIST 04,Allegheny,804,692,82,11,7,2,10,657,576,64,6,4,2,5,535,266,266,289,243
420035721,0,PENN HILLS TWP WD 08 DIST 05,Allegheny,1526,1122,340,23,3,2,36,1203,947,221,18,3,1,13,710,394,313,429,278
420035722,0,PENN HILLS TWP WD 08 DIST 06,Allegheny,802,739,45,12,0,3,3,669,626,32,6,0,2,3,365,168,194,188,174
420035730,0,PENN HILLS TWP WD 09 DIST 01,Allegheny,655,630,20,1,2,0,2,568,551,14,1,1,0,1,400,188,209,211,186
